"points","text","img","url"
"1390","SAMSUNG GALAXY TAB A 7 INCH WIFI BLACK","http://www.mcfina.co.uk/Icons/iELTEIC0000G175a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELTEIC0000G175"
"1400","TOUGHENED NON STICK 30CM DEEP FRY PAN","http://www.mcfina.co.uk/Icons/iCWLCUL0000G081a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CWLCUL0000G081"
"1410","SWAROVSKI ANGELIC ALL AROUND NECKLACE","http://www.mcfina.co.uk/Icons/iSPSWUK0000G044a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SPSWUK0000G044"
"1410","ROTARY AVENGER MEN'S TWO TONE BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G063a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G063"
"1410","ROTARY MEN'S CANTERBURY CHRONOGRAPH WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G076a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G076"
"1420","CLOCK WATERFORD CRYSTAL","http://www.mcfina.co.uk/Icons/iCLOCK220a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CLOCK220"
"1420","3-PLY 24CM DEEP CASSEROLE DISH","http://www.mcfina.co.uk/Icons/iCWLCUL0000G083a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CWLCUL0000G083"
"1420","LINKS OF LONDON PAVE ROUND BRACELET","http://www.mcfina.co.uk/Icons/iSTLILO0000G024a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STLILO0000G024"
"1450","TOWNSEND BLACK LACQUER ROLLER BALL","http://www.mcfina.co.uk/Icons/iPNATCL0000G026a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/PNATCL0000G026"
"1450","FUJIFILM FINEPIX XP130 TOUGH LIME GREEN CAMERA BUNDLE","http://www.mcfina.co.uk/Icons/iCADITE0000G112a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G112"
"1460","OAKLEY CONDUCTOR 6 GENTS SUNGLASSES","http://www.mcfina.co.uk/Icons/iCOPRIT0000G041a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/COPRIT0000G041"
"1460","MONTBLANC SARTORIAL JET WALLET 118389","http://www.mcfina.co.uk/Icons/iLEPRIT0000G010a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LEPRIT0000G010"
"1460","SAMSONITE ZENITH DLX 15.6INCH LAPTOP BACKPACK","http://www.mcfina.co.uk/Icons/iLUAIML0000G272a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LUAIML0000G272"
"1470","ASPINAL OF LONDON LADIES WALLET","http://www.mcfina.co.uk/Icons/iLEGOMU0000G039a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LEGOMU0000G039"
"1480","25X70 BINOCULARS &amp; BACK PACK PICNIC SET","http://www.mcfina.co.uk/Icons/iOPELPR0000G010a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/OPELPR0000G010"
"1480","GARMIN VIVOMOVE HR SPORT ROSE GOLD TONE","http://www.mcfina.co.uk/Icons/iSOTEIC0000G033a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOTEIC0000G033"
"1490","FUJIFILM FINEPIX XP140 TOUGH CAMERA YELLOW","http://www.mcfina.co.uk/Icons/iCADITE0000G111a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G111"
"1490","GECKO ROSE, YELLOW AND WHITE GOLD PENDANT","http://www.mcfina.co.uk/Icons/i09GECK0000G069a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/09GECK0000G069"
"1490","SAMSONITE ZALIA  LAPTOP BAILHANDLE CASE","http://www.mcfina.co.uk/Icons/iLUAIML0000G234a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LUAIML0000G234"
"1490","CANON IXUS 185 CAMERA KIT 32GB SD CARD &amp; CASE","http://www.mcfina.co.uk/Icons/iCADITE0000G095a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G095"
"1490","SAMSONITE SPECTROLITE 2.0 LAPTOP CASE","http://www.mcfina.co.uk/Icons/iLEAIML0000G042a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LEAIML0000G042"
"1500","TOWNSEND MEDALIST FOUNTAIN PEN","http://www.mcfina.co.uk/Icons/iPNATCL0000G028a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/PNATCL0000G028"
"1500","ACCURIST LADIES' WATCH","http://www.mcfina.co.uk/Icons/iSSSTPU0000G079a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSSTPU0000G079"
"1500","SONOS PLAY 1 SPEAKER IN WHITE","http://www.mcfina.co.uk/Icons/iELELPR0000G164a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G164"
"1500","LE CREUSET 30CM SHALLOW CASSEROLE","http://www.mcfina.co.uk/Icons/iCWLCUL0000G129a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CWLCUL0000G129"
"1500","WX 295 GAME BASKETBALL","http://www.mcfina.co.uk/Icons/iSOAMSP0000G136a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOAMSP0000G136"
"1500","STUBBS 9CT GOLD SPIGA CHAIN 18IN/45CM","http://www.mcfina.co.uk/Icons/i09STUB0000G087a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/09STUB0000G087"
"1523","SUNGLASSES RAY BAN","http://www.mcfina.co.uk/Icons/iCOPRIT0000G001a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/COPRIT0000G001"
"1540","SAMSONITE B-LITE ICON LAPTOP TOTE","http://www.mcfina.co.uk/Icons/iLUAIML0000G260a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LUAIML0000G260"
"1580","ROTARY LADIES KENSINGTON BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G077a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G077"
"1590","DKNY LADIES STANHOPE SILVER TONE WATCH","http://www.mcfina.co.uk/Icons/iSSGOMU0000G109a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSGOMU0000G109"
